766,0,0,0,0,0,1,,,4680819
C0,0,0,0,0,1,2,0,0,4687980
A7,0,0,0,0,0,0,0,0,4695287
AA,4,12,9,0,0,16,64,1,4702518
AB,0,0,0,0,0,0,0,0,4709767
387,0,1,56,253,127,87,235,39,4717062
766,0,0,0,0,0,1,,,4724373
C0,0,0,0,0,1,2,0,0,4731599
A7,1,0,0,0,0,0,0,0,4738912
AA,4,12,9,0,0,16,64,1,4746076
AB,0,0,0,0,0,0,0,0,4753323
766,0,0,0,0,0,1,,,4760552
C0,0,0,0,0,1,2,0,0,4767794
A7,0,0,0,0,0,0,0,0,4786940
387,255,254,56,253,127,87,235,39,4794122
766,0,0,0,0,0,1,,,4805393
A7,0,0,0,0,0,0,0,0,4812080
AA,4,12,9,0,0,16,64,1,4819188
AB,0,0,0,0,0,0,0,0,4826444
C0,0,0,0,0,1,2,0,0,4833679
A7,0,0,0,0,0,0,0,0,4840929
AA,4,12,9,0,0,16,64,1,4848034
AB,0,0,0,0,0,0,0,0,4855221
766,0,0,0,0,0,1,,,4862515
C0,0,0,0,0,1,2,0,0,4882998
A7,0,0,0,0,0,0,0,0,4890171
AA,4,12,9,0,0,16,64,1,4897418
AB,0,0,0,0,0,0,0,0,4917965
387,255,254,56,253,127,87,235,39,4925281
766,0,0,0,0,0,1,,,4932515
C0,0,0,0,0,1,2,0,0,4939699
380,27,0,0,0,170,110,70,157,4946996
400,31,31,30,33,0,2,0,2,4958500
A7,0,0,0,0,0,0,0,0,5032513
AA,4,12,9,0,0,16,64,1,5054799
AB,0,0,0,0,0,0,0,0,5061993
766,0,0,0,0,0,1,,,5069232
C0,0,0,0,0,1,2,0,0,5076483
A7,0,0,0,0,0,0,0,0,5083655
AA,4,12,9,0,0,16,64,1,5090973
AB,0,0,0,0,0,0,0,0,5098208
766,0,0,0,0,0,1,,,5105466
387,0,0,56,253,127,87,235,39,5112768
C0,0,0,0,0,1,2,0,0,5120089
A7,0,0,0,0,255,255,0,0,5127392
AA,4,12,9,0,0,16,64,1,5134710
AB,0,0,0,0,0,0,0,0,5141950
766,0,0,0,0,0,1,,,5149205
C0,0,0,0,0,1,2,0,0,5156504
A7,0,0,0,0,0,0,0,0,5167952
AA,4,12,9,0,0,16,64,1,5174692
AB,0,0,0,0,0,0,0,0,5181718
766,0,0,0,0,0,1,,,5189102
C0,0,0,0,0,1,2,0,0,5196371
387,0,0,56,253,127,87,235,39,5203662
A7,1,0,0,0,0,0,0,0,5210874
AA,4,12,9,0,0,16,64,1,5218103
AB,0,0,0,0,0,0,0,0,5225320
766,0,0,0,0,0,1,,,5232643
C0,0,0,0,0,1,2,0,0,5239942
A7,0,0,0,0,0,0,0,0,5247104
AA,4,12,9,0,0,16,64,1,5254381
AB,0,0,0,0,0,0,0,0,5261679
766,0,0,0,0,0,1,,,5268830
C0,0,0,0,0,1,2,0,0,5276056
A7,0,0,0,0,0,0,0,0,5283334
A0,64,1,68,1,66,1,143,1,5290563
A2,129,0,129,0,117,1,0,0,5313557
387,0,0,56,253,127,87,235,39,5438556
400,31,31,30,33,0,2,0,2,5445840
766,0,0,0,0,0,1,,,5544806
A7,1,0,0,0,0,0,0,0,5552212
AA,4,12,9,0,0,16,64,1,5559511
AB,0,0,0,0,0,0,0,0,5566790
A7,0,0,0,0,0,0,0,0,5573963
